Istuntokauden uudelleenavaaminen	Resumption of the session
Sen vuoksi on mielestäni hyvä ajatus, että jäsenvaltioita kehotetaan arvioimaan jatkuvasti sitä, miten jäsenvaltioiden sosiaaliturvaa ja verotusta koskevan lainsäädännön muutokset vaikuttavat rajatyöntekijöihin, mutta me emme mielestäni voi määrätä hallituksia antamaan rajatyöntekijöille taloudellisia korvauksia lainsäädännön muuttamisen vuoksi.	That is why I think it is a good idea to try to get the Member States to continually assess the effects upon frontier workers whenever they change tax and social security legislation. In my opinion, we cannot, however, require governments to compensate frontier workers financially for changes in legislation.
Olisi parempi, jos olemassa olevien ongelmien lisäksi kiinnittäisimme enemmän huomiota niihin uusiin ongelmiin, joita voi syntyä.	It is better to heighten awareness not only of the problems there have always been, but also of new problems that might arise.
Haluaisin myös tukea asetuksen 1408/71 yksinkertaistamista; kyse on erittäin laajasta ongelmanasettelusta, mutta tällä ongelmanasettelulla on paljon merkitystä monille ihmisille.	I should also like to support the view that we should do more to simplify Regulation 1408/71. This is a very far-reaching problem, but one of great importance to many people.
Arvoisa puhemies ja arvoisa komission jäsen, haluan esittää pari huomautusta tämän asian johdosta.	Mr President, Commissioner, I would like to make a few observations following on from this dossier.
Aluksi haluan kiittää jäsen Oomen-Ruijtenia hänen tekemästään työstä.	First of all, I would like to thank Mrs Oomen-Ruijten for the work she has done.
Toiseksi se voidaan luonnollisesti katsoa erityisesti sosiaaliministerien neuvostolle ja osittain komissiolle, mutta ennen kaikkea sosiaaliministerien neuvostolle, osoitetuksi vetoomukseksi siitä, että tälle asialle pitäisi tehdä lopultakin jotakin erityisesti nyt, kun tiedämme, että tässä on kysymys työvoiman liikkuvuuden vapauttamisen välttämättömästä aloittamisesta koko Euroopassa.	Secondly, my contribution should of course be considered as an appeal to the Social Council and the Commission, but mainly the Social Council, to do something about this dossier at long last, particularly in the knowledge that this is the start of the necessary deregulation of the movement of workers across Europe.
Rajatyö on vapaata liikkuvuutta, ja se kasvaa todennäköisesti erityisesti ehdokasvaltioiden liittymisen seurauksena.	Frontier work falls under free movement, and will grow, especially once the candidate countries have joined.
On kuitenkin vielä suuria ongelmia.	Despite this, there are still major problems to contend with.
Kun tarkastelen ennen kaikkea kotimaatani ja joitakin sitä ympäröiviä maita - Belgiaa ja Saksaa - havaitsen, että eri ryhmittymät haluavat käyttää eri periaatteita.	Especially in my own country and a number of neighbouring countries, Belgium and Germany, I notice that different groups wish to apply different principles.
Rajatyöntekijöiden parissa toimivat säätiöt puhuvat asuinmaan periaatteen puolesta, ammattiyhdistysliike puhuu työskentelymaan periaatteen puolesta, hallitukset itse puhuvat asuinmaan periaatteen puolesta ja niin edelleen.	Foundations involved with frontier workers argue in favour of the principle of the country of residence, trade unions support the principle of the country of employment, the government itself believes in the principle of the country of residence, and so it goes on.
Ongelma on kuitenkin saatava vihdoinkin ratkaistuksi, ja siksi emme halua tukea tiettyjä jäsen Oomen-Ruijtenin ehdottamia tarkistuksia, joissa pyritään osittain yhdistettyyn lähestymistapaan, ja ehdotamme, että työskentelymaan periaatetta pidettäisiin lähtökohtana ja että työskenneltäisiin niin sanotun eurooppalaisen sosiaalimallin parissa.	It is about time we made a decision, and in that sense, we are unwilling to support a number of amendments which Mrs Oomen-Ruijten tabled, and which are partly designed to adopt a mixed approach. We suggest using the principle of the country of employment as point of departure, and to develop this so-called European social model.
Arvoisa puhemies, haluan ensiksi kiittää tämän mietinnön esittelijää.	Mr President, I should like above all to thank the rapporteur for this report.
On hyvä, että emme unohda rajatyöntekijöitä ja heidän ongelmiaan.	It is good that we should not forget frontier workers and their problems.
Mietintö osoittaa jälleen kerran, että asetus 1408/71 tarvitsee perusteellista tarkistusta ja yksinkertaistamista, mistä neuvoston pöydällä on ollut esityksiä jo kaksi vuotta; voimme sen vuoksi vielä kerran pahoitella, että Nizzassa pidetyssä hallitustenvälisessä konferenssissa ei onnistuttu saamaan aikaan useampia enemmistöpäätöksiä.	The report is further evidence that Regulation 1408/71 requires thorough revision and simplification, proposals for which have been before the Council for two years. We can, therefore, once again regret the lack of success in obtaining more majority voting at the Intergovernmental Conference in Nice.
Tanskalaiset sosiaalidemokraatit ovat pääasiassa samaa mieltä kaikesta siitä, mitä esittelijä sanoo, mutta minä olen hänen kanssaan aivan ja täysin eri mieltä, sillä hän pitää ongelmana sitä, että yhä useammat kansallisten sosiaaliturvajärjestelmien osat rahoitetaan julkisista varoista.	The Danish Social Democrats broadly agree with most of what the rapporteur says, but I completely and utterly disagree with her when she sees it as a problem that ever more features of national social insurance are financed through public funds.
Asetuksessa 1408/71 kyse on sosiaaliturvajärjestelmien koordinoinnista eikä niiden yhdenmukaistamisesta, mikä on tärkeää todeta.	Regulation 1408/71 concerns the coordination, and not the harmonisation, of social security arrangements, and it is important to make this clear.
Haluaisin korostaa tätä, sillä juuri tällaiset argumentit ovat antaneet väärin perustein tuulta purjeisiin muutamille tanskalaisille EU:n vastustajille, jotka väittävät, että EU heikentää Tanskan hyvinvointia.	I should like to emphasise this, because it is precisely this form of argument which has given an unwarranted boost to those Danish opponents of the EU who maintain that the EU is eroding the Danish welfare system.
Muun muassa järjestäytyneet EU:n vastustajat pyrkivät määrätietoisesti estämään kaiken tällä saralla tapahtuvan työn.	It is partly those who organise resistance to the EU who are purposefully working to ensure that nothing at all happens in this area.
Vaikuttaa siltä, että he unohtavat, että neuvoston puutteellisella toimintakyvyllä on todellakin joitakin seurauksia - seurauksia niille ihmisille, jotka työskentelevät rajojen yli, ja heidän perheilleen, joita jäytää epävarmuus.	They seem to forget that the Council' s incapacity for action does in fact have consequences - consequences for those people and their families who work across national frontiers and who are plagued by uncertainty.
Neuvoston puutteellinen toimintakyky johtaa todellakin myös siihen, että asioista päättävät tuomioistuimet eivätkä vastuulliset poliitikot.	However, one further consequence of the Council' s incapacity to act is, in actual fact, that it is the courts, instead of the politicians responsible, who take the decisions.
Euroskeptikot puhuvat niin paljon demokratiasta, mutta demokratia edellyttää välttämättömien päätösten tekemistä, eikä se siten salli, että kansalaiset jätetään epävarmuuteen ja että poliitikoille kuuluva valta annettaisiin tuomioistuimille.	The Eurosceptics talk such a lot about democracy, but it can never be democratic to omit to take the necessary decisions and, in that way, to consign people to insecurity and to give the courts a degree of influence which politicians ought to have.
. (EN) Arvoisa puhemies, haluan ensimmäiseksi onnitella jäsen Oomen-Ruijtenia hänen erinomaisesta rajatyöntekijöiden tilannetta ja erityisesti näiden työntekijöiden kohtaamia sosiaalisia ja vero-ongelmia koskevasta mietinnöstään.	Mr President, I wish to begin by congratulating Mrs Oomen-Ruijten on her excellent report on the situation of frontier workers and, in particular, the social and fiscal problems these workers face.
Haluan myös kiittää parlamenttia sen tuesta komission ehdotukselle laajentaa asetuksen 1408/71 kohderyhmää kattamaan kolmansien maiden kansalaiset ja ehdotusta nykyaikaistaa ja yksinkertaistaa kyseistä asetusta. Kiitän parlamenttia myös kannustavasta tuesta Eures-verkostolle.	I should also like to thank Parliament for the support given to the Commission's proposal to extend the scope of Regulation 1408/71 to third-country nationals, the proposal to modernise and simplify that regulation, and for the encouraging support given to the Eures network.
Komissio yhtyy täysin huoliinne rajatyöntekijöiden kohtaamista ongelmista.	The Commission fully supports your concerns as regards the problems encountered by frontier workers.
Siksi suhtaudunkin myönteisesti ehdotukseenne lähettää päätöslauselma neuvostolle.	I therefore welcome your proposal to forward the resolution to the Council.
Haluaisin nyt esittää lyhyesti komission kannan päätöslauselmassa esitettyihin asioihin.	Allow me to now set out briefly the Commission's approach to the points raised in the resolution.
Ensinnäkin, mitä tulee sosiaaliturvaan ja työmarkkinoihin, mietinnössä pyydetään komissiota järjestämään ennen tämän vuoden loppua jäsenvaltioille ja ehdokasvaltioille kansainvälinen konferenssi rajatyöntekijöiden tilanteesta.	First, on social security and the labour market, the report calls on the Commission, before the end of this year, to organise an international conference for the Member States and applicant countries concerning the position of frontier workers.
Tämä on erinomainen ajatus, ja voimme hyödyntää Eures-verkoston kautta saamaamme kokemusta.	This is an excellent idea and advantage can be taken of the experience accumulated under the Eures network.
Tässä konferenssissa voitaisiin määritellä, mitkä ovat parhaat käytännöt ja aloitteet, joihin voitaisiin ryhtyä niin yhteisössä kuin kansallisella tasollakin. Lisäksi Euroopan parlamentti osallistuisi konferenssin järjestämiseen.	Such a conference could identify best practices and initiatives that could be launched both at Community and national level, and the European Parliament will be involved in its organisation.
Lisäeläkkeiden koordinointimääräyksistä haluaisin muistuttaa teille, että komissio on sitoutunut sosiaalipolitiikan toimintaohjelmassaan ehdottamaan vuonna 2002 direktiiviä lisäeläkkeiden siirrettävyydestä.	On the idea of coordination provisions for supplementary pensions, I would remind you that the Commission has committed itself in its social policy agenda to propose in 2002 a directive on the transferability of supplementary pensions.
Aloite täydentää tällä alalla jo olemassa olevaa direktiiviä, joka hyväksyttiin vuonna 1998.	This initiative will complement the already existing directive in this field, which was adopted in 1998.
Parlamentti osallistuu ehdotuksen laatimiseen, sillä se perustuu EY:n perustamissopimuksen 42 artiklaan ja sen hyväksyminen edellyttää yhteispäätösmenettelyä.	As the proposal will be based on Article 42 of the EC Treaty and rely on the codecision procedure for its adoption, Parliament will be fully involved.
Voin lisäksi vahvistaa, että rajatyön laajuutta ja luonnetta koskeva tutkimus on jo suunniteltu tehtäväksi Euresin tuella vuonna 2001.	Furthermore I can confirm that a study covering the extent and nature of frontier work is already planned to be carried out under the Eures auspices in 2001.
Tuen täysin sosiaaliturvavirastojen aloitteita, joilla ne lisäävät rajat ylittävää yhteistyötä terveydenhoitopalvelujen saannin helpottamiseksi, ja voin vakuuttaa teille, että komissio haluaa tukea tällaisia aloitteita ja edistää kokemusten ja hyväksi todettujen käytäntöjen vaihtoa.	On the initiatives taken by social security agencies for closer cross-border cooperation in order to facilitate access to health-care benefits, I am very much in favour of such initiatives and can confirm that it is the intention of the Commission to encourage such initiatives and to promote exchanges of experience and best practices.
Komissio oikeastaan tukee jo tällaista hanketta, joka koskee osan Belgiasta, Saksasta ja Alankomaista kattavan Euregio Maas-Reinin asukkaita.	In fact the Commission is already giving support to such a project involving the inhabitants of the Euregio Meuse-Rhine, which covers part of Belgium, Germany and the Netherlands.
Deckerin ja Kohlin tapausten päätösten seurauksista sanoisin, että yhteisön tuomioistuimessa parhaillaan käsiteltävissä uusissa jutuissa puidaan tärkeitä oikeudellisia kysymyksiä.	With regard to the follow-up of the Decker and Kohl judgments, there are important legal questions currently being debated in new cases before the Court.
Nämä kysymykset koskevat sairaalahoitoa ja Alankomaiden terveydenhoitojärjestelmää.	These questions concern hospital care and the Dutch health system.
Komissio odottaa näissä jutuissa tehtäviä päätöksiä, ennen kuin se ottaa asiaan kantaa.	The Commission will await the outcome of these judgments before taking a position.
Mitä tulee harjoittelijoiden, opiskelijoiden, vapaaehtoistyöntekijöiden ja tutkijoiden liikkuvuuden esteisiin, komissio on jo tehnyt aloitteen ja esittänyt ehdotuksen Euroopan parlamentin ja neuvoston suositukseksi opiskelijoiden, koulutuksessa olevien, nuorten vapaaehtoisten, opettajien ja kouluttajien liikkuvuudesta Euroopan yhteisössä.	On obstacles to the mobility of stagiaires, students, volunteers and researchers, the Commission has already taken the initiative and presented a proposal for a recommendation of the European Parliament and the Council on mobility within the Community for students, persons undergoing training, young volunteers, teachers and trainers.
Opetusasiain neuvosto hyväksyi yhteisen kannan tähän ehdotukseen 9. marraskuuta 2000.	On 9 November 2000 the Education Council adopted its common position on this proposal.
Haluan kiittää parlamenttia sen tuesta tälle asialle, ja toivon, että parlamentti ja neuvosto voivat pian hyväksyä tämän suosituksen käytyään asiasta lopulliset keskustelut.	I wish to thank Parliament for its support on this matter and I hope that the final discussions will enable Parliament and the Council to adopt the recommendations shortly.
Direktiiviehdotuksesta, joka koskisi sellaisen rajatyön vaikutusta käsittelevän selvityksen laatimista, jolla jäsenvaltiot velvoitetaan tutkimaan lainsäädännön vaikutuksia rajatyöntekijöihin, haluan tehdä selväksi, että komission täytyy jo nyt varmistaa, että kaikki kansallisten lakien määräykset ovat yhteensopivia perustamissopimuksen ja yhteisön johdetun oikeuden kanssa.	On the idea of a proposal for a directive on the introduction of frontier effect reports, whereby Member States would be required to test their legislation as to the effects for frontier workers, I should make it clear that it is already the Commission's task to ensure that all provisions of national legislation are compatible with the Treaty and the secondary legislation of Community law.
Komissio tulee varmasti jatkossakin käyttämään perustamissopimuksen 226 artiklan mukaista valtaansa käynnistää määräysten rikkomisesta johtuva menettely sellaista jäsenvaltiota vastaan, joka ei ole noudattanut yhteisön oikeutta.	The Commission will certainly continue to use the powers laid down in Article 226 of the Treaty and to launch infringement proceedings against Member States when they violate Community law.
Ymmärrän kuitenkin, että ehdotetun direktiiviehdotuksen tarkoituksena on tarjota yleisluonteisempi sosioekonominen arviointi sellaisen kansallisen lainsäädännön seurauksista, joka on itsessään yhteisön oikeuden mukainen, mutta saattaa aiheuttaa vaikeuksia rajatyöntekijöille.	However, I understand that the suggested proposal for a directive aims to provide for a more general socio-economic impact assessment of the consequences of national legislation, that is in itself compatible with Community law but might cause further difficulties to frontier workers.
Komissio ei ole varma siitä, onko tällaisen lainsäädännöllisen välineen ehdottaminen tarpeellista.	The Commission is not sure that it would be appropriate to propose such a legislative instrument.
Komission mielestä on hyödyllisempää vilkastuttaa rajat ylittävää yhteistyötä eri alueiden osapuolten välillä ja yhteisön tasolla, jotta voitaisiin ehkäistä kansallisen lainsäädännön kielteiset vaikutukset rajatyöntekijöihin.	It seems to the Commission more appropriate to stimulate cross-border cooperation of the partners involved in the different regions and at Community level in order to prevent any negative consequences of national legislation on frontier workers.
Lopuksi kantani verotukseen.	Finally, my comments on tax.
Toisin kuin sosiaaliturvasta, henkilöiden verotuksesta ei yhteisössä ole mitään lainsäädäntöä.	Unlike social security, there is no Community legislation at all on personal taxation.
Jäsenvaltiot pitävät todellakin tällä alalla tiukasti kiinni itsemääräämisoikeudestaan.	Indeed Member States are extremely protective of their sovereignty in this area.
Tämä koskee erityisesti niiden oikeutta solmia kahdenvälisiä verotussopimuksia.	That is particularly true of their competence to enter into bilateral tax treaties.
Näin ollen on hyvin epätodennäköistä, että komissio saisi jäsenvaltiot hyväksymään sellaisia toimia kuin mietinnössä esitettiin.	Therefore, there is little chance of the Commission being able to secure successfully the adoption of measures by Member States, as requested in the report.
Nizzan sopimus ei valitettavasti tule muuttamaan tilannetta.	Unfortunately this will not change following the Treaty of Nice.
Kuten tiedätte, meidän kaikkien toiveista huolimatta verotusasioissa vaaditaan neuvostossa jatkossakin yksimielisyyttä.	As you are aware, contrary to our common wishes, the requirement of unanimity in Council was retained for tax matters.
Lisäksi mietinnössä esitetyt työssäkäyntimaassa tapahtuvaa verotusta koskevat suositukset tulevat jakamaan mielipiteet.	Opinions are, moreover, likely to be divided about the merits of the recommendations made in the report concerning taxation in the State of employment.
Oikeastaan vallitseva näkemys verohallinnoissa on, että oleskelumaa pystyy työssäkäyntimaata paremmin ottamaan huomioon veronmaksajien kokonaistilanteen.	In fact, the prevailing view in tax administrations is that the State of residence rather than the State of employment is best placed to take account of the overall situation of taxpayers.
Haluan viimeiseksi kiittää vielä kerran jäsen Oomen-Ruijtenia mielenkiintoisesta mietinnöstä ja korostaa, että komissio aikoo määrätietoisesti jatkaa ponnisteluja rajatyöntekijöiden ongelmien ratkaisemiseksi.	In conclusion, I wish to thank Mrs Oomen-Ruijten again for her stimulating report and to underline the Commission's determination to maintain its efforts to overcome the problems faced by frontier workers.
Kiitän teitä, arvoisa komission jäsen.	Thank you Commissioner.
Keskustelu on päättynyt.	The debate is closed.
Äänestys toimitetaan huomenna klo 12.00.	The debate will take place tomorrow at 12 noon.
Ympäristödirektiivit	Environment directives
Esityslistalla on seuraavana ympäristöasioiden, kansanterveyden ja kuluttajapolitiikan valiokunnan suullinen kysymys (B5-0556/2000) komissiolle PCB:tä/PCT:tä, luontotyyppejä ja nitraatteja koskevien direktiivien riittämättömästä täytäntöönpanosta.	The next item is the oral question (B5-0556/2000) by the Committee on the Environment, Public Health and Consumer Policy to the Commission, on the poor implementation of certain environmental directives (PCB/PCT, habitats, nitrates).
Arvoisa puhemies, parlamentin ympäristövaliokunta on yhä huolestuneempi siitä, että me hyväksymme eurooppalaista ympäristölainsäädäntöä, mutta emme pane sitä kunnolla täytäntöön.	Mr President, Parliament's Committee on the Environment is increasingly concerned that we are adopting European environmental legislation and then neglecting to implement it properly.
Suoraan sanoen uskomme, että ministerineuvosto, komissio ja Euroopan parlamentti johtavat väestöä harhaan.	Putting it bluntly, we believe that the Council of Ministers, the Commission and the European Parliament are complicit in a deception of the public.
Mielipidetutkimukset osoittavat, että enemmistö ihmisistä ajattelee, että ympäristöasiat ovat tärkeitä ja niitä pitäisi käsitellä Euroopan tasolla.	Opinion polls show that the majority of people support the idea that environmental issues are important and should be dealt with at European level.
Hyväksymme lainsäädäntöä, joka vaikuttaa tyydyttävän tämän tarpeen.	We are adopting legislation that appears to fill this need.
Oikeastaan liian usein ympäristölaeista ei piitata, tavoitteita ei saavuteta, kertomuksia ei lähetetä ajoissa komissiolle eikä lakia rikkovia maita rangaista.	In fact, in all too many cases, environmental laws are ignored, targets are not met, reports are not sent in to the Commission on time and those countries which break the law go unpunished.
Tämän keskustelun tavoitteena on tuoda esiin, missä on epäonnistuttu, ja yrittää tehdä jotain näille asioille.	The purpose of this debate is to highlight what is going wrong and to try and do something about it.
Ympäristövaliokunta on laatinut kolme kertomusta, kutsumme niitä Yhdysvaltojen kongressin mallin mukaan nimellä "insight report" (asiantuntijakertomus).	The Committee on the Environment has put together three reports, we call them 'insight reports' , basing ourselves on the model of the US Congress.
Kuulimme, että luontotyyppidirektiivi on jumissa ristiriitojen ja oikeudenkäyntien vuoksi.	We have found that the habitats directive is locked in controversy and law suits.
PCB-direktiiviä kuvaa se, etteivät jäsenvaltiot ole pystyneet tarjoamaan olennaisen tärkeitä luetteloita niiden hallussa olevista varastoista.	The PCBs directive is characterised by the failure of Member States to supply the all-important inventories of the stocks they hold.
Nitraattidirektiivi oli todennäköisesti alusta lähtien virheellinen, ja kaikki maat, paitsi Tanska ja Ruotsi - tietenkin - on haastettu yhteisön tuomioistuimeen siitä, etteivät ne ole panneet sitä täytäntöön.	The nitrates directive was probably flawed from the beginning and all but two countries, Denmark and Sweden of course, are now before the European Court of Justice because of their failure to implement it.
On erittäin todennäköistä, että näitä puutteita löytyy koko EU:n ympäristöoikeuden kirjosta.	It is highly likely that these shortcomings are repeated throughout the canon of EU environmental law.
Mitä asialle voidaan tehdä?	What can be done about this?
Ensinnäkin toivomme, että komissio osoittaa riittävästi varoja ympäristöohjelmaan, jota maailma kärsimättömänä odottaa, jotta voidaan selvittää, mitä lainsäädännölle on tapahtunut.	We hope firstly that in the environmental action programme, which the world is eagerly awaiting, the Commission will key in adequate resources for following up what has happened to legislation.
Olisi mielenkiintoista kuulla komission jäseneltä suunnilleen, kuinka monta ihmistä hänen pääosastossaan vastaa tästä suhteessa niihin, jotka valvovat uuden lainsäädännön käyttöönottoa.	It would be interesting to hear from the Commissioner roughly how many people in her Directorate are responsible for this as compared to those overseeing the introduction of new legislation.
Lisäksi tarvitaan paljon enemmän rehellistä keskustelua - sekä kansallisella että EU:n tasolla - säädösehdotuksissa esitettyjen tavoitteiden saavuttamisen todellisista mahdollisuuksista.	There needs to be a much more honest debate secondly - nationally and at the European level - about the real possibility of achieving the environmental objectives set out in draft legislation.
Pelkäämme pahoin, että jäsenvaltiot hyväksyvät liian usein ympäristölakeja sen takia, että se antaa hyvän vaikutelman ja niiden vastustaminen tai rajoittaminen ei olisi poliittisesti viisasta.	Too often, we suspect, Member States sign up to green laws because it looks good to do so, and opposing or moderating them is seen as politically insensitive.
Jos nämä maat eivät pysty toteuttamaan sitä, mihin ne ovat sitoutuneet, ne oikeastaan vahingoittavat vihreää aatetta.	If, in fact, they cannot comply with what they have agreed to, such countries are doing Green causes harm.
Jos esimerkiksi Saksalla ja muilla mailla on vaikeuksia luontotyyppidirektiivin kanssa, niin miksemme kuulleet siitä enemmän silloin, kun direktiiviä käsiteltiin parlamentissa?	If the Germans and others, for example, now have trouble with the habitats directive, why did we not hear more about it when that directive was going through this Parliament?
Entä äänestikö Saksan hallitus alun perin tätä direktiiviä vastaan?	And did the German Government, in fact, vote against that directive originally?
Täytyyhän puhdistuslakien kustannukset tietenkin ottaa huomioon, kun lait hyväksytään.	Certainly the cost of clean-up laws must be taken into account when a law is adopted.
Hyvä esimerkki tästä on yhdyskuntajätevesidirektiivi, jota Brysselin hallituksella ei ole varaa noudattaa.	A good example of the failure to do this is the urban waste water directive which the government of Brussels cannot afford to comply with.
Epäilemme, että kansallisia päästörajoja koskeva direktiivi kokee saman kohtalon.	We suspect that the same thing will happen with the national emissions ceiling directive.
Kolmanneksi haluamme, että jäsenvaltiot kehittävät sellaiset infrastruktuurit, joiden avulla kaikki nämä valtiot pystyvät toimeenpanemaan seurantatyön, joka on osa useiden täällä hyväksyttyjen EU-direktiivien kunnollista täytäntöönpanoa.	Thirdly, we want Member States to develop the infrastructures which will allow them, all of them, to carry out the monitoring work that must accompany the proper implementation of many of the EU directives we adopt here.
Kollegani ja minä petyimme suuresti siihen, ettei neuvosto katsonut voivansa hyväksyä ehdotustamme muuttaa ympäristötarkastuksia koskeva suositus direktiiviksi.	My colleagues and I were desperately disappointed that the Council felt it could not agree to our proposal to transform the environmental inspections recommendation into a directive.
Emme pyytäneet EU:n tarkastuslaitoksen perustamista, vaan ainoastaan, että jäsenvaltioiden pitäisi saattaa kansalliset tarkastuslaitoksensa yhteisen korkean vaatimustason tasalle.	We were not demanding an EU inspectorate but simply that Member States should agree to bring their national inspectorates up to a common high standard.
Aiomme ottaa asian uudelleen esiin kahden vuoden kuluttua, kun asiaa taas käsitellään.	We will continue to pursue this idea in two years time when the issue should return to us.
Neljänneksi haluamme, että komissio saattaa jäsenvaltiot entistä nopeammin tuomioistuimen eteen, kun ne rikkovat yhteisön oikeutta.	Fourthly, we want much quicker action by the Commission to take Member States to court when they break EU law.
Viime viikolla Kreikan hallitus - jolla ei oikein olisi varaa tällaiseen - maksoi toisen maksuerän yli kahden miljoonan euron sakosta, jonka se sai siitä, ettei se noudattanut yhteisön tuomioistuimen päätöstä jätteiden kuljettamisesta Kreetalle.	Last week the Greek Government, which can ill afford to do so, paid the second instalment of a fine, now totalling over EUR 2 million for failure to comply with a judgment of the Court of Justice over the dumping of waste in Crete.
Tämä tapahtui 13 vuotta sen jälkeen, kun komissio sai ensimmäisen valituksen tästä jätteiden kuljettamisesta, ja jopa 19 vuotta sen jälkeen, kun asianomainen direktiivi oli tullut voimaan.	This was thirteen years after the Commission received the first complaint about the dumping of that waste and no less than nineteen years after the directive concerned came into force.
On aivan järjetöntä, että köyhä valtio joutuu palauttamaan rahoja Brysseliin, mutta on yhtä järjetöntä, että tapauksen käsittely kesti näin kauan.	It is absurd that a poor country should get itself into a situation of paying back money to Brussels, but equally absurd that the case should have taken so long.
Haluan lopuksi sanoa, ettei parlamenttia pelotella tai harhauteta sillä, että Euroopan parlamentin pitää keskittyä säädösten hyväksymiseen eikä niiden toteuttamiseen.	Finally, let me say that we in Parliament are not daunted or diverted by the idea that the European Parliament should only be concerned with the adoption of legislation and not with its follow-up.
Ympäristöasiain neuvosto ilmeisesti jossain määrin ihmetteli ja jopa paheksui sitä, että olimme astuneet sen reviirille ja että aioimme suhtautua ympäristötarkastuksia koskevaan suositukseen hyvin vakavasti.	Apparently the Environment Council was somewhat surprised and even disapproving that we had intruded into their territory and that our intention was to take the environmental inspections recommendation very seriously.
Kaikkihan me tiedämme, että nimenomaan parlamentin jäsenet vastaanottavat kritiikkiä täytäntöönpanon puutteellisuudesta.	MEPs, as we will all know, are on the receiving end of public criticism of poor implementation.
Kansalaisilla on tapana valittaa meille eikä ympäristöasiain neuvostolle.	The public tends to complain to us, not to the Environment Council.
Euroopan kansalaisten ja heidän ympäristönsä edun vuoksi aiomme jatkaa tämän asian edistämistä emmekä anna periksi.	In the interests of the people of Europe and their environment, we will pursue this issue and we will not let go.
. (EN) Arvoisa puhemies, haluan ensimmäiseksi kiittää jäsen Jacksonia tärkeiden kysymysten esittämisestä.	Mr President, first of all I thank Mrs Jackson for her important question.
Muistuttaisin kaikille Euroopan parlamentin jäsenille, että yhteisön oikeuden täytäntöönpanoon kuuluu sekä direktiivien siirtäminen kansalliseen lainsäädäntöön että niiden soveltaminen yksittäisissä päätöksissä.	I would remind all the Members of the European Parliament that implementation of European Community law covers both the transposition of directives into national law and their application to individual decisions.
Siihen sisältyy myös muiden velvoitteiden täyttäminen, kuten ohjelmien hyväksyminen, nimitysten tekeminen ja seuranta.	It also includes fulfilment of other obligations such as adopting programmes, making designations and monitoring.
Ongelmat, joihin ympäristövaliokunta on törmännyt näissä kolmessa kertomuksessa, eivät todellakaan rajoitu mainittuihin kolmeen direktiiviin, vaan ne koskevat kaikkia yhteisön ympäristödirektiivejä.	The difficulties encountered by the Committee on the Environment in these three reports are indeed not limited to the three directives chosen but extend to all EC environmental directives.
Komissio ja etenkin ympäristöasioiden pääosasto tuntevat nämä ongelmat ja ovat jo jonkin aikaa pyrkineet parantamaan suorituksia tällä alalla, ja voin vakuuttaa teille, että kun komissio keskustelee ensi viikolla kuudennesta ympäristöohjelmasta, täytäntöönpano tulee olemaan tärkeä osa ohjelmaa.	The Commission, and not least the Environment DG are aware of these difficulties and have for some time devoted efforts to improve their performance in this field and I can assure you that next week when the Commission discusses the Sixth Environmental Action Programme the whole implementation issue will be a very important point in that programme.
Meillä on käytössämme useita välineitä täytäntöönpanon parantamiseksi.	We have a number of tools at our disposal to improve implementation.
Voimme esimerkiksi jakaa tietoa antaaksemme ajanmukaisemman kuvan tilanteesta, ja tiedän, että olemme myös lähettäneet joitakin näistä kertomuksista ja vuosikatsauksista parlamentille ja että voimme lisätä median kiinnostusta asiaan.	We can, for example, disseminate information to give a more up-to-date picture of the state of play and I know that we have also forwarded some of these reports and annual surveys to Parliament and that we can do much more to ensure some media attention as well.
Voimme kehittää välineitä, joilla edistetään täytäntöönpanon etenemisen analysointia ja arviointia.	We can develop tools to aid in the analysis and evaluation of progress in implementation.
Voimme ryhtyä oikeudellisiin toimiin täytäntöönpanon varmistamiseksi.	We can take legal measures to follow up implementation.
Vuodesta 1997 lähtien on toteutettu erityisiä aloitteita useilla rintamilla, näihin kuuluvat muun muassa ympäristövahinkovastuu, jossa aloitteilla painostetaan jäsenvaltioita noudattamaan olemassa olevia sääntöjä ja asetuksia, valitus- ja tutkintamenettelyt, joiden toteuttamiseen kansallisella tasolla olemme osallistuneet neuvoa-antavassa roolissa; oikeussuoja, tuomarien koulutus - mikä on tärkeää sikälikin, että se liittyy opetukseen - sekä tämän ympäristölainsäädännön täytäntöönpanoa koskevan vuosikatsauksen julkaiseminen.	Since 1997 specific initiatives have been pursued on a number of fronts including environmental liability, which of course will put pressure on the Member States to follow the existing rules and regulations; complaints and investigations procedures at national level where we have been involved in playing a consultancy role; access to justice, magistrates' training courses - also very important because this is also about education - and the publication of this annual survey on the implementation of environmental law.
Olemme myös pyrkineet luomaan selkeän yhteyden direktiivien täytäntöönpanon ja yhteisön yhteisrahoituksen välille, mikä on osoittautunut tehokkaaksi keinoksi, sekä lujittamaan siteitä LIFE-rahoitusvälineeseen, sillä jäsenvaltioille tulee paineita, kun ne huomaavat, että asetusten noudattamatta jättäminen vaarantaa rahantulon.	We have also worked to create a clear link between implementation of the directives and Community cofunding which has proven to be very effective as well as ensuring a close relationship with the LIFE financial instrument, because when they see that the money is threatened if they do not comply with the regulations this will definitely put pressure on the Member States.
Pidimme viime toukokuussa ensimmäisen niin sanotun "nimeä ja häpäise" -harjoituksen uimavedenlaadusta.	In May last year we had a first name and shame exercise, as we call it, on bathing water quality.
